farbe,lambda_nm,links_korr,rechts_korr,delta_links,delta_rechts,delta_min,n,u_n
Dunkelrot,706.54,46.533333,312.825,47.00833299999999,46.69999999999999,46.85416649999999,2.4017934993980345,0.025265516431948493
Rot,667.82,46.7,312.625,47.17500000000001,46.89999999999998,47.037499999999994,2.406634593155618,0.025233641271249177
Gelb,587.56,47.25,312.075,47.72500000000002,47.44999999999999,47.587500000000006,2.421120851137619,0.025137633046964702
Grün,501.57,48.175,311.141667,48.650000000000034,48.38333299999999,48.516666500000014,2.445466965400769,0.024974138088327696
Blaugrün,492.19,48.316667,311.0,48.79166700000002,48.52499999999998,48.6583335,2.4491648521422116,0.024949067699664852
Blau,447.15,48.633333,310.641667,49.108333000000016,48.88333299999999,48.995833000000005,2.457959397814186,0.0248891896684155
Violett,438.79,49.125,310.141667,49.60000000000002,49.38333299999999,49.49166650000001,2.470841109890824,0.024800833774600118
